intent,user_input,bot_response,risk_level,escalation_required,age_group,guideline_reference
mental_health_faq,Honestly How common are mental illnesses every day,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,teen,WHO Mental Health Gap Action Programme
emotional_support,I just want support a lot,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Honestly I feel pressure all the time a lot,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,adult,WHO Mental Health Gap Action Programme
anxiety_symptoms,Lately I feel nervous for no reason every day,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,teen,WHO Psychological First Aid
depression_symptoms,Honestly I feel empty inside,Depression can make daily life feel very heavy. Speaking with a mental health professional may help.,high,yes,child,WHO Psychological First Aid
coping_mechanism,How do I manage stress better,Small daily self-care activities can support emotional resilience over time.,low,no,adult,WHO Suicide Prevention Guidance
professional_help,Honestly How do I ask for mental health help and it worries me,"Reaching out for help shows strength, not weakness.",medium,no,child,WHO Psychological First Aid
suicide_warning,I feel trapped and hopeless lately,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,senior,WHO Mental Health Gap Action Programme
mental_health_faq,Lately What are warning signs of depression and it worries me,Mental health conditions are common and treatable. Learning more about symptoms and support options can help.,low,no,adult,WHO Mental Health Gap Action Programme
emotional_support,Recently I just want support lately,"Thank you for sharing your feelings. You deserve kindness, support, and understanding.",medium,no,teen,WHO Suicide Prevention Guidance
stress_reaction,Honestly I cannot manage my workload recently,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,senior,WHO Psychological First Aid
anxiety_symptoms,Recently I avoid situations because I get anxious a lot,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,UNICEF Child and Adolescent Mental Health Guidelines
depression_symptoms,These days I stay in bed all day,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,teen,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Lately How do I manage stress better,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,senior,WHO Suicide Prevention Guidance
professional_help,Honestly I want to speak to a counselor,"Reaching out for help shows strength, not weakness.",medium,no,teen,WHO Psychological First Aid
suicide_warning,I cannot continue anymore a lot,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,teen,WHO Psychological First Aid
mental_health_faq,Sometimes What are warning signs of depression,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,I feel emotionally weak,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,WHO Psychological First Aid
stress_reaction,Sometimes I feel tension in my body every day,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,senior,WHO Psychological First Aid
anxiety_symptoms,Recently I cannot sleep because of anxiety recently,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,senior,WHO Suicide Prevention Guidance
depression_symptoms,Sometimes Nothing makes me happy anymore a lot,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Psychological First Aid
coping_mechanism,Lately How can I calm myself down a lot,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,child,WHO Psychological First Aid
professional_help,Lately I want to speak to a counselor lately,Seeking professional support is a positive and responsible step toward mental wellness.,medium,no,senior,WHO Psychological First Aid
suicide_warning,These days I feel like ending my life lately,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,child,WHO Suicide Prevention Guidance
mental_health_faq,Honestly Can therapy help depression every day,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,child,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,These days I need encouragement lately,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,adult,WHO Suicide Prevention Guidance
stress_reaction,Sometimes I keep worrying about deadlines,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,adult,WHO Psychological First Aid
anxiety_symptoms,Sometimes I feel panic before social events recently,"Anxiety can feel exhausting, but you are not alone. Slow breathing exercises may help calm your body.",medium,no,child,WHO Suicide Prevention Guidance
depression_symptoms,Lately I feel sad every day recently,I am sorry you are going through this. You deserve support and care.,high,yes,adult,WHO Suicide Prevention Guidance
coping_mechanism,Lately What helps during panic attacks every day,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,teen,WHO Psychological First Aid
professional_help,How do I ask for mental health help,"Reaching out for help shows strength, not weakness.",medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Recently I cannot continue anymore lately,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,child,UNICEF Child and Adolescent Mental Health Guidelines
mental_health_faq,What causes anxiety a lot,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,teen,WHO Suicide Prevention Guidance
emotional_support,Sometimes I feel emotionally weak lately,"Your feelings are valid, and it is okay to seek support from trusted people.",medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Sometimes I cannot manage my workload and it worries me,Stress can become overwhelming when it builds up over time. Try focusing on one small task at a time.,medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,Honestly I overthink every situation recently,Your feelings matter. Taking things one step at a time may help reduce anxious thoughts.,medium,no,adult,WHO Mental Health Gap Action Programme
depression_symptoms,Recently I lost interest in everything recently,Thank you for sharing your feelings. Even small acts of self-care can be meaningful during difficult times.,high,yes,senior,UNICEF Child and Adolescent Mental Health Guidelines
coping_mechanism,Honestly What helps during panic attacks every day,Small daily self-care activities can support emotional resilience over time.,low,no,senior,WHO Suicide Prevention Guidance
professional_help,These days When should someone seek mental health support and it worries me,A therapist or counselor can help you explore emotions and develop healthy coping strategies.,medium,no,senior,UNICEF Child and Adolescent Mental Health Guidelines
suicide_warning,Honestly Life feels pointless a lot,I am really concerned about your safety. Please contact a trusted person or emergency support service immediately.,critical,yes,senior,WHO Suicide Prevention Guidance
mental_health_faq,Sometimes What is a panic attack,"Conditions like anxiety and depression can affect thoughts, emotions, and physical well-being.",low,no,teen,WHO Psychological First Aid
emotional_support,I feel lonely recently,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,senior,WHO Mental Health Gap Action Programme
stress_reaction,These days I cannot relax anymore and it worries me,"Your feelings are valid. Finding healthy routines such as sleep, movement, and relaxation exercises may help reduce stress.",medium,no,child,WHO Suicide Prevention Guidance
anxiety_symptoms,Recently I overthink every situation a lot,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,senior,WHO Mental Health Gap Action Programme
depression_symptoms,Honestly I feel emotionally numb a lot,You do not have to handle these emotions alone. Reaching out to trusted support systems can help.,high,yes,senior,WHO Mental Health Gap Action Programme
coping_mechanism,Lately How do I feel emotionally balanced a lot,"Healthy coping strategies can include breathing exercises, journaling, exercise, and speaking with trusted people.",low,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
professional_help,Do I need counseling a lot,"Reaching out for help shows strength, not weakness.",medium,no,child,WHO Suicide Prevention Guidance
suicide_warning,I feel like ending my life,Your safety matters. Please seek urgent help from someone you trust or a healthcare provider.,critical,yes,adult,WHO Mental Health Gap Action Programme
mental_health_faq,Honestly Is anxiety treatable lately,"Professional support, healthy coping skills, and social support can improve mental health outcomes.",low,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
emotional_support,Recently I feel unsupported a lot,I am glad you shared this. Emotional support from others can make difficult moments easier.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,Recently I cannot relax anymore lately,It sounds like you are carrying a heavy emotional load right now. Taking small breaks and reaching out for support may help.,medium,no,teen,WHO Suicide Prevention Guidance
anxiety_symptoms,Lately I avoid situations because I get anxious lately,Thank you for opening up about your anxiety. Grounding techniques and support from trusted people may help.,medium,no,adult,WHO Suicide Prevention Guidance
depression_symptoms,Sometimes I lost interest in everything every day,I am sorry you are going through this. You deserve support and care.,high,yes,teen,WHO Mental Health Gap Action Programme
coping_mechanism,Recently What helps during panic attacks every day,Grounding exercises such as focusing on your breathing or surroundings may help during stressful moments.,low,no,senior,WHO Psychological First Aid
professional_help,Lately How do I ask for mental health help lately,"If emotional struggles affect your daily life, relationships, or safety, professional support may help.",medium,no,senior,WHO Mental Health Gap Action Programme
suicide_warning,Recently Nobody would care if I was gone every day,You are not alone in this moment. Contact emergency or crisis support services as soon as possible.,critical,yes,adult,WHO Psychological First Aid
mental_health_faq,Honestly What is depression,Understanding mental health is an important step toward reducing stigma and encouraging support.,low,no,child,WHO Suicide Prevention Guidance
emotional_support,Recently I feel emotionally weak every day,You are not alone. Reaching out and talking about your emotions is an important step.,medium,no,teen,UNICEF Child and Adolescent Mental Health Guidelines
stress_reaction,These days I feel tension in my body every day a lot,"Thank you for sharing this. Rest, hydration, and talking to someone you trust can support emotional recovery.",medium,no,teen,WHO Mental Health Gap Action Programme
anxiety_symptoms,Sometimes I feel anxious all the time,It is understandable to feel overwhelmed by anxiety. Seeking professional guidance can also be beneficial.,medium,no,adult,UNICEF Child and Adolescent Mental Health Guidelines
